#PSV-2.1
'LDAPZ81 '   1.00000000 1
# pseudo potential for tapp generated by
# psv-2.1.0 2001.8.21                               
# title (comment) of allel input file:
# H -- LDAPZ81, NR, [1s(1)2p(0)], Z=1.0, p-local                          
# title (comment) of psv input file:
# H -- LDAPZ81, TM, rc={1.5}, iloc=0(2p)                                  
# stiffness=   0.7063823
# 
     1.00000000000000
    1
    1
      1675    0.150885017155339E+01
      -1.08943254       1.36662518       2.08943254       2.29382978
 1990
    0.500000000000000E-06   -0.182505985374027E+01
    0.504476312131621E-06   -0.182505985374027E+01
    0.508992699003842E-06   -0.182505985374027E+01
    0.513549519390757E-06   -0.182505985374027E+01
    0.518147135278432E-06   -0.182505985374027E+01
    0.522785911893655E-06   -0.182505985374027E+01
    0.527466217732956E-06   -0.182505985374027E+01
    0.532188424591873E-06   -0.182505985374027E+01
    0.536952907594491E-06   -0.182505985374027E+01
    0.541760045223240E-06   -0.182505985374027E+01
    0.546610219348961E-06   -0.182505985374027E+01
    0.551503815261241E-06   -0.182505985374027E+01
    0.556441221699020E-06   -0.182505985374027E+01
    0.561422830881471E-06   -0.182505985374027E+01
    0.566449038539159E-06   -0.182505985374027E+01
    0.571520243945475E-06   -0.182505985374027E+01
    0.576636849948356E-06   -0.182505985374027E+01
    0.581799263002283E-06   -0.182505985374027E+01
    0.587007893200575E-06   -0.182505985374027E+01
    0.592263154307957E-06   -0.182505985374027E+01
    0.597565463793439E-06   -0.182505985374027E+01
    0.602915242863472E-06   -0.182505985374027E+01
    0.608312916495411E-06   -0.182505985374027E+01
    0.613758913471271E-06   -0.182505985374027E+01
    0.619253666411796E-06   -0.182505985374027E+01
    0.624797611810816E-06   -0.182505985374027E+01
    0.630391190069930E-06   -0.182505985374027E+01
    0.636034845533484E-06   -0.182505985374027E+01
    0.641729026523875E-06   -0.182505985374027E+01
    0.647474185377160E-06   -0.182505985374027E+01
    0.653270778478991E-06   -0.182505985374027E+01
    0.659119266300870E-06   -0.182505985374027E+01
    0.665020113436726E-06   -0.182505985374026E+01
    0.670973788639824E-06   -0.182505985374026E+01
    0.676980764860001E-06   -0.182505985374026E+01
    0.683041519281235E-06   -0.182505985374026E+01
    0.689156533359554E-06   -0.182505985374026E+01
    0.695326292861281E-06   -0.182505985374026E+01
    0.701551287901622E-06   -0.182505985374026E+01
    0.707832012983599E-06   -0.182505985374026E+01
    0.714168967037336E-06   -0.182505985374026E+01
    0.720562653459690E-06   -0.182505985374026E+01
    0.727013580154239E-06   -0.182505985374026E+01
    0.733522259571635E-06   -0.182505985374026E+01
    0.740089208750305E-06   -0.182505985374026E+01
    0.746714949357527E-06   -0.182505985374026E+01
    0.753400007730871E-06   -0.182505985374026E+01
    0.760144914920010E-06   -0.182505985374026E+01
    0.766950206728904E-06   -0.182505985374026E+01
    0.773816423758364E-06   -0.182505985374026E+01
