#PSV-2.1
'LDAPZ81 '   6.00000000 1
# pseudo potential for tapp generated by
# psv-2.1.3 2003.10.31                              
# title (comment) of allel input file:
# Carbon -- LDAPZ81 non-rela, Troullier-Martins, 2010.3.29. M.Yoshimura   
# title (comment) of psv input file:
# Carbon -- LDAPZ81 non-rela, Troullier-Martins, 2010.3.23. M.Yoshimura   
# stiffness=   0.8174469
# 
     4.00000000000000
    2
    1    1
      1629    0.150301184504207E+01
      -0.92896617       1.40297610       1.92896617       2.30558039
 2000
    0.500000000000000E-06   -0.702522622816549E+01
    0.504602171525542E-06   -0.702522622816549E+01
    0.509246703016585E-06   -0.702522622816548E+01
    0.513933984368783E-06   -0.702522622816548E+01
    0.518664409066524E-06   -0.702522622816548E+01
    0.523438374215960E-06   -0.702522622816547E+01
    0.528256280578346E-06   -0.702522622816547E+01
    0.533118532603678E-06   -0.702522622816547E+01
    0.538025538464653E-06   -0.702522622816547E+01
    0.542977710090926E-06   -0.702522622816546E+01
    0.547975463203695E-06   -0.702522622816546E+01
    0.553019217350598E-06   -0.702522622816546E+01
    0.558109395940935E-06   -0.702522622816545E+01
    0.563246426281209E-06   -0.702522622816545E+01
    0.568430739610998E-06   -0.702522622816545E+01
    0.573662771139160E-06   -0.702522622816544E+01
    0.578942960080360E-06   -0.702522622816544E+01
    0.584271749691949E-06   -0.702522622816544E+01
    0.589649587311171E-06   -0.702522622816543E+01
    0.595076924392714E-06   -0.702522622816543E+01
    0.600554216546608E-06   -0.702522622816542E+01
    0.606081923576478E-06   -0.702522622816542E+01
    0.611660509518137E-06   -0.702522622816542E+01
    0.617290442678543E-06   -0.702522622816541E+01
    0.622972195675111E-06   -0.702522622816541E+01
    0.628706245475392E-06   -0.702522622816540E+01
    0.634493073437107E-06   -0.702522622816540E+01
    0.640333165348559E-06   -0.702522622816539E+01
    0.646227011469413E-06   -0.702522622816539E+01
    0.652175106571855E-06   -0.702522622816539E+01
    0.658177949982119E-06   -0.702522622816538E+01
    0.664236045622414E-06   -0.702522622816538E+01
    0.670349902053218E-06   -0.702522622816537E+01
    0.676520032515977E-06   -0.702522622816537E+01
    0.682746954976184E-06   -0.702522622816536E+01
    0.689031192166868E-06   -0.702522622816536E+01
    0.695373271632469E-06   -0.702522622816535E+01
    0.701773725773129E-06   -0.702522622816534E+01
    0.708233091889383E-06   -0.702522622816534E+01
    0.714751912227262E-06   -0.702522622816533E+01
    0.721330734023820E-06   -0.702522622816533E+01
    0.727970109553066E-06   -0.702522622816532E+01
    0.734670596172327E-06   -0.702522622816532E+01
    0.741432756369042E-06   -0.702522622816531E+01
    0.748257157807974E-06   -0.702522622816531E+01
    0.755144373378867E-06   -0.702522622816530E+01
    0.762094981244542E-06   -0.702522622816529E+01
    0.769109564889427E-06   -0.702522622816529E+01
    0.776188713168539E-06   -0.702522622816528E+01
    0.783333020356921E-06   -0.702522622816527E+01
    0.790543086199528E-06   -0.702522622816527E+01
    0.797819515961572E-06   -0.702522622816526E+01
    0.805162920479332E-06   -0.702522622816525E+01
    0.812573916211436E-06   -0.702522622816524E+01
    0.820053125290609E-06   -0.702522622816524E+01
    0.827601175575898E-06   -0.702522622816523E+01
    0.835218700705378E-06   -0.702522622816522E+01
    0.842906340149351E-06   -0.702522622816521E+01
    0.850664739264020E-06   -0.702522622816521E+01
    0.858494549345667E-06   -0.702522622816520E+01
    0.866396427685330E-06   -0.702522622816519E+01
    0.874371037623980E-06   -0.702522622816518E+01
    0.882419048608203E-06   -0.702522622816517E+01
    0.890541136246404E-06   -0.702522622816517E+01
    0.898737982365518E-06   -0.702522622816516E+01
    0.907010275068250E-06   -0.702522622816515E+01
    0.915358708790836E-06   -0.702522622816514E+01
    0.923783984361344E-06   -0.702522622816513E+01
    0.932286809058503E-06   -0.702522622816512E+01
    0.940867896671078E-06   -0.702522622816511E+01
    0.949527967557791E-06   -0.702522622816510E+01
    0.958267748707791E-06   -0.702522622816509E+01
    0.967087973801688E-06   -0.702522622816508E+01
    0.975989383273136E-06   -0.702522622816507E+01
    0.984972724370998E-06   -0.702522622816506E+01
    0.994038751222070E-06   -0.702522622816505E+01
    0.100318822489439E-05   -0.702522622816504E+01
    0.101242191346113E-05   -0.702522622816503E+01
    0.102174059206506E-05   -0.702522622816502E+01
    0.103114504298364E-05   -0.702522622816500E+01
    0.104063605569469E-05   -0.702522622816499E+01
    0.105021442694263E-05   -0.702522622816498E+01
    0.105988096080541E-05   -0.702522622816497E+01
    0.106963646876197E-05   -0.702522622816496E+01
    0.107948176976041E-05   -0.702522622816494E+01
    0.108941769028667E-05   -0.702522622816493E+01
    0.109944506443399E-05   -0.702522622816492E+01
    0.110956473397286E-05   -0.702522622816490E+01
    0.111977754842173E-05   -0.702522622816489E+01
    0.113008436511831E-05   -0.702522622816488E+01
    0.114048604929152E-05   -0.702522622816486E+01
    0.115098347413418E-05   -0.702522622816485E+01
    0.116157752087624E-05   -0.702522622816483E+01
    0.117226907885881E-05   -0.702522622816482E+01
    0.118305904560881E-05   -0.702522622816480E+01
    0.119394832691428E-05   -0.702522622816479E+01
    0.120493783690046E-05   -0.702522622816477E+01
    0.121602849810653E-05   -0.702522622816476E+01
    0.122722124156299E-05   -0.702522622816474E+01
    0.123851700686992E-05   -0.702522622816472E+01
    0.124991674227575E-05   -0.702522622816470E+01
    0.126142140475695E-05   -0.702522622816469E+01
    0.127303196009831E-05   -0.702522622816467E+01
    0.128474938297405E-05   -0.702522622816465E+01
    0.129657465702961E-05   -0.702522622816464E+01
    0.130850877496426E-05   -0.702522622816462E+01
    0.132055273861438E-05   -0.702522622816460E+01
    0.133270755903764E-05   -0.702522622816458E+01
    0.134497425659779E-05   -0.702522622816456E+01
    0.135735386105039E-05   -0.702522622816454E+01
    0.136984741162922E-05   -0.702522622816452E+01
    0.138245595713349E-05   -0.702522622816450E+01
    0.139518055601596E-05   -0.702522622816448E+01
    0.140802227647173E-05   -0.702522622816446E+01
    0.142098219652795E-05   -0.702522622816443E+01
    0.143406140413427E-05   -0.702522622816441E+01
    0.144726099725425E-05   -0.702522622816439E+01
    0.146058208395743E-05   -0.702522622816437E+01
    0.147402578251244E-05   -0.702522622816434E+01
    0.148759322148083E-05   -0.702522622816432E+01
    0.150128553981180E-05   -0.702522622816429E+01
    0.151510388693786E-05   -0.702522622816427E+01
    0.152904942287127E-05   -0.702522622816424E+01
    0.154312331830144E-05   -0.702522622816422E+01
