#PSV-2.3   input_N:14228053
'GGAPBE96'   7.00000000 1
# pseudo potential for tapp generated by
# psv-2.3.0 2008.9.1                                
# title (comment) of allel input file:
# Nitrogen with non-relativistic                                          
# title (comment) of psv input file:
# Nitrogen                                                                
# stiffness=   0.8433700
# 
     5.00000000000000
    2
    1    1
      8023    0.120365354305866E+01
       1.74801213       3.56773176      -0.74801213       2.02483941
10000
    0.500000000000000E-06   -0.110093629755068E+02
    0.500916696904692E-06   -0.110093629755096E+02
    0.501835074475814E-06   -0.110093629755125E+02
    0.502755135794690E-06   -0.110093629755153E+02
    0.503676883948292E-06   -0.110093629755181E+02
    0.504600322029252E-06   -0.110093629755210E+02
    0.505525453135874E-06   -0.110093629755239E+02
    0.506452280372139E-06   -0.110093629755267E+02
    0.507380806847722E-06   -0.110093629755296E+02
    0.508311035677997E-06   -0.110093629755325E+02
    0.509242969984050E-06   -0.110093629755354E+02
    0.510176612892691E-06   -0.110093629755384E+02
    0.511111967536461E-06   -0.110093629755413E+02
    0.512049037053644E-06   -0.110093629755442E+02
    0.512987824588280E-06   -0.110093629755472E+02
    0.513928333290169E-06   -0.110093629755502E+02
    0.514870566314890E-06   -0.110093629755532E+02
    0.515814526823806E-06   -0.110093629755562E+02
    0.516760217984075E-06   -0.110093629755592E+02
    0.517707642968663E-06   -0.110093629755622E+02
    0.518656804956353E-06   -0.110093629755652E+02
    0.519607707131754E-06   -0.110093629755682E+02
    0.520560352685318E-06   -0.110093629755713E+02
    0.521514744813342E-06   -0.110093629755743E+02
    0.522470886717985E-06   -0.110093629755774E+02
    0.523428781607277E-06   -0.110093629755804E+02
    0.524388432695129E-06   -0.110093629755835E+02
    0.525349843201345E-06   -0.110093629755866E+02
    0.526313016351631E-06   -0.110093629755898E+02
    0.527277955377608E-06   -0.110093629755929E+02
    0.528244663516822E-06   -0.110093629755960E+02
    0.529213144012754E-06   -0.110093629755991E+02
    0.530183400114832E-06   -0.110093629756023E+02
    0.531155435078440E-06   -0.110093629756055E+02
    0.532129252164934E-06   -0.110093629756087E+02
    0.533104854641645E-06   -0.110093629756118E+02
    0.534082245781898E-06   -0.110093629756150E+02
    0.535061428865016E-06   -0.110093629756183E+02
    0.536042407176337E-06   -0.110093629756215E+02
    0.537025184007222E-06   -0.110093629756247E+02
    0.538009762655064E-06   -0.110093629756280E+02
    0.538996146423304E-06   -0.110093629756312E+02
    0.539984338621438E-06   -0.110093629756345E+02
    0.540974342565031E-06   -0.110093629756378E+02
    0.541966161575725E-06   -0.110093629756411E+02
    0.542959798981253E-06   -0.110093629756444E+02
    0.543955258115450E-06   -0.110093629756477E+02
    0.544952542318261E-06   -0.110093629756511E+02
    0.545951654935755E-06   -0.110093629756544E+02
    0.546952599320137E-06   -0.110093629756577E+02
    0.547955378829757E-06   -0.110093629756611E+02
    0.548959996829122E-06   -0.110093629756645E+02
    0.549966456688908E-06   -0.110093629756679E+02
    0.550974761785970E-06   -0.110093629756713E+02
    0.551984915503356E-06   -0.110093629756748E+02
    0.552996921230313E-06   -0.110093629756782E+02
    0.554010782362305E-06   -0.110093629756816E+02
    0.555026502301020E-06   -0.110093629756851E+02
    0.556044084454382E-06   -0.110093629756886E+02
    0.557063532236566E-06   -0.110093629756921E+02
    0.558084849068002E-06   -0.110093629756956E+02
    0.559108038375394E-06   -0.110093629756991E+02
    0.560133103591728E-06   -0.110093629757026E+02
    0.561160048156284E-06   -0.110093629757062E+02
    0.562188875514648E-06   -0.110093629757097E+02
    0.563219589118721E-06   -0.110093629757132E+02
    0.564252192426735E-06   -0.110093629757168E+02
    0.565286688903261E-06   -0.110093629757204E+02
    0.566323082019223E-06   -0.110093629757240E+02
    0.567361375251909E-06   -0.110093629757276E+02
    0.568401572084979E-06   -0.110093629757313E+02
    0.569443676008484E-06   -0.110093629757349E+02
    0.570487690518870E-06   -0.110093629757386E+02
    0.571533619118997E-06   -0.110093629757423E+02
    0.572581465318145E-06   -0.110093629757459E+02
    0.573631232632027E-06   -0.110093629757496E+02
    0.574682924582804E-06   -0.110093629757533E+02
    0.575736544699093E-06   -0.110093629757570E+02
    0.576792096515980E-06   -0.110093629757608E+02
    0.577849583575034E-06   -0.110093629757645E+02
    0.578909009424316E-06   -0.110093629757683E+02
    0.579970377618391E-06   -0.110093629757720E+02
    0.581033691718343E-06   -0.110093629757759E+02
    0.582098955291782E-06   -0.110093629757797E+02
    0.583166171912863E-06   -0.110093629757835E+02
