#PSV-2.3   input_N:51cf1179
'LDAPZ81 '   7.00000000 1
# pseudo potential for tapp generated by
# psv-2.3.0 2008.9.1                                
# title (comment) of allel input file:
# Nitrogen with non-relativistic                                          
# title (comment) of psv input file:
# Nitrogen                                                                
# stiffness=   0.8464653
# 
     5.00000000000000
    2
    1    1
      8023    0.120365354305866E+01
      -7.01542157      13.39693205       8.01542157      11.60765976
10000
    0.500000000000000E-06   -0.109799069008049E+02
    0.500916696904692E-06   -0.109799069008049E+02
    0.501835074475814E-06   -0.109799069008049E+02
    0.502755135794690E-06   -0.109799069008049E+02
    0.503676883948292E-06   -0.109799069008049E+02
    0.504600322029252E-06   -0.109799069008049E+02
    0.505525453135874E-06   -0.109799069008049E+02
    0.506452280372139E-06   -0.109799069008049E+02
    0.507380806847722E-06   -0.109799069008049E+02
    0.508311035677997E-06   -0.109799069008049E+02
    0.509242969984050E-06   -0.109799069008049E+02
    0.510176612892691E-06   -0.109799069008049E+02
    0.511111967536461E-06   -0.109799069008049E+02
    0.512049037053644E-06   -0.109799069008049E+02
    0.512987824588280E-06   -0.109799069008049E+02
    0.513928333290169E-06   -0.109799069008049E+02
    0.514870566314890E-06   -0.109799069008049E+02
    0.515814526823806E-06   -0.109799069008049E+02
    0.516760217984075E-06   -0.109799069008049E+02
    0.517707642968663E-06   -0.109799069008049E+02
    0.518656804956353E-06   -0.109799069008049E+02
    0.519607707131754E-06   -0.109799069008049E+02
    0.520560352685318E-06   -0.109799069008049E+02
    0.521514744813342E-06   -0.109799069008049E+02
    0.522470886717985E-06   -0.109799069008049E+02
    0.523428781607277E-06   -0.109799069008049E+02
    0.524388432695129E-06   -0.109799069008049E+02
    0.525349843201345E-06   -0.109799069008049E+02
    0.526313016351631E-06   -0.109799069008049E+02
    0.527277955377608E-06   -0.109799069008049E+02
    0.528244663516822E-06   -0.109799069008049E+02
    0.529213144012754E-06   -0.109799069008049E+02
    0.530183400114832E-06   -0.109799069008049E+02
    0.531155435078440E-06   -0.109799069008049E+02
    0.532129252164934E-06   -0.109799069008049E+02
    0.533104854641645E-06   -0.109799069008049E+02
    0.534082245781898E-06   -0.109799069008049E+02
    0.535061428865016E-06   -0.109799069008049E+02
    0.536042407176337E-06   -0.109799069008049E+02
    0.537025184007222E-06   -0.109799069008049E+02
    0.538009762655064E-06   -0.109799069008049E+02
    0.538996146423304E-06   -0.109799069008049E+02
    0.539984338621438E-06   -0.109799069008049E+02
    0.540974342565031E-06   -0.109799069008049E+02
    0.541966161575725E-06   -0.109799069008049E+02
    0.542959798981253E-06   -0.109799069008049E+02
    0.543955258115450E-06   -0.109799069008049E+02
    0.544952542318261E-06   -0.109799069008049E+02
    0.545951654935755E-06   -0.109799069008049E+02
    0.546952599320137E-06   -0.109799069008049E+02
    0.547955378829757E-06   -0.109799069008049E+02
    0.548959996829122E-06   -0.109799069008049E+02
    0.549966456688908E-06   -0.109799069008049E+02
    0.550974761785970E-06   -0.109799069008048E+02
    0.551984915503356E-06   -0.109799069008048E+02
    0.552996921230313E-06   -0.109799069008048E+02
    0.554010782362305E-06   -0.109799069008048E+02
    0.555026502301020E-06   -0.109799069008048E+02
    0.556044084454382E-06   -0.109799069008048E+02
    0.557063532236566E-06   -0.109799069008048E+02
    0.558084849068002E-06   -0.109799069008048E+02
    0.559108038375394E-06   -0.109799069008048E+02
    0.560133103591728E-06   -0.109799069008048E+02
    0.561160048156284E-06   -0.109799069008048E+02
    0.562188875514648E-06   -0.109799069008048E+02
    0.563219589118721E-06   -0.109799069008048E+02
    0.564252192426735E-06   -0.109799069008048E+02
    0.565286688903261E-06   -0.109799069008048E+02
    0.566323082019223E-06   -0.109799069008048E+02
    0.567361375251909E-06   -0.109799069008048E+02
    0.568401572084979E-06   -0.109799069008048E+02
    0.569443676008484E-06   -0.109799069008048E+02
    0.570487690518870E-06   -0.109799069008048E+02
    0.571533619118997E-06   -0.109799069008048E+02
    0.572581465318145E-06   -0.109799069008048E+02
    0.573631232632027E-06   -0.109799069008048E+02
    0.574682924582804E-06   -0.109799069008048E+02
    0.575736544699093E-06   -0.109799069008048E+02
    0.576792096515980E-06   -0.109799069008048E+02
    0.577849583575034E-06   -0.109799069008048E+02
    0.578909009424316E-06   -0.109799069008048E+02
    0.579970377618391E-06   -0.109799069008048E+02
    0.581033691718343E-06   -0.109799069008048E+02
    0.582098955291782E-06   -0.109799069008048E+02
    0.583166171912863E-06   -0.109799069008048E+02
