#PSV-2.1
'LDAPZ81 '   7.00000000 1
# pseudo potential for tapp generated by
# psv-2.1.0 2001.8.21                               
# title (comment) of allel input file:
# N -- LDAPZ81, non-relativistic, [2s(2)2p(2.9)3d(0)]                     
# title (comment) of psv input file:
# N -- LDAPZ81, TM, rc={1.51,1.51}, iloc=0{3,2,1.51}                      
# stiffness=   0.6682195
# 
     5.00000000000000
    2
    1    1
      1631    0.153080765336510E+01
      -0.09716617       0.55684711       1.09716617       3.11092575
 2000
    0.500000000000000E-06   -0.884293652383378E+01
    0.504602171525542E-06   -0.884293652383377E+01
    0.509246703016585E-06   -0.884293652383375E+01
    0.513933984368783E-06   -0.884293652383374E+01
    0.518664409066524E-06   -0.884293652383373E+01
    0.523438374215960E-06   -0.884293652383371E+01
    0.528256280578346E-06   -0.884293652383370E+01
    0.533118532603678E-06   -0.884293652383368E+01
    0.538025538464653E-06   -0.884293652383367E+01
    0.542977710090926E-06   -0.884293652383366E+01
    0.547975463203695E-06   -0.884293652383364E+01
    0.553019217350598E-06   -0.884293652383362E+01
    0.558109395940935E-06   -0.884293652383361E+01
    0.563246426281209E-06   -0.884293652383359E+01
    0.568430739610998E-06   -0.884293652383358E+01
    0.573662771139160E-06   -0.884293652383356E+01
    0.578942960080360E-06   -0.884293652383354E+01
    0.584271749691949E-06   -0.884293652383352E+01
    0.589649587311171E-06   -0.884293652383351E+01
    0.595076924392714E-06   -0.884293652383349E+01
    0.600554216546608E-06   -0.884293652383347E+01
    0.606081923576478E-06   -0.884293652383345E+01
    0.611660509518137E-06   -0.884293652383343E+01
    0.617290442678543E-06   -0.884293652383341E+01
    0.622972195675111E-06   -0.884293652383339E+01
    0.628706245475392E-06   -0.884293652383337E+01
    0.634493073437107E-06   -0.884293652383335E+01
    0.640333165348559E-06   -0.884293652383333E+01
    0.646227011469413E-06   -0.884293652383331E+01
    0.652175106571855E-06   -0.884293652383329E+01
    0.658177949982119E-06   -0.884293652383327E+01
    0.664236045622414E-06   -0.884293652383324E+01
    0.670349902053218E-06   -0.884293652383322E+01
    0.676520032515977E-06   -0.884293652383320E+01
    0.682746954976184E-06   -0.884293652383317E+01
    0.689031192166868E-06   -0.884293652383315E+01
    0.695373271632469E-06   -0.884293652383312E+01
    0.701773725773129E-06   -0.884293652383310E+01
    0.708233091889383E-06   -0.884293652383307E+01
    0.714751912227262E-06   -0.884293652383305E+01
    0.721330734023820E-06   -0.884293652383302E+01
    0.727970109553066E-06   -0.884293652383299E+01
    0.734670596172327E-06   -0.884293652383296E+01
    0.741432756369042E-06   -0.884293652383294E+01
    0.748257157807974E-06   -0.884293652383291E+01
    0.755144373378867E-06   -0.884293652383288E+01
    0.762094981244542E-06   -0.884293652383285E+01
    0.769109564889427E-06   -0.884293652383282E+01
    0.776188713168539E-06   -0.884293652383279E+01
