#PSV-2.3   Si.psv.in:1479f9c6
'GGAPBE96'  14.00000000 1
# pseudo potential for tapp generated by
# psv-2.3.0 2008.9.1                                
# title (comment) of allel input file:
# Si -- GGA, non-relarivistic, 2013.06.26 K. Sawada                       
# title (comment) of psv input file:
# Si -- GGA, non-relativistic, 2013.06.26 K. Sawada                       
# stiffness=   0.8557662
# 
     4.00000000000000
    2
    1    1
      1685    0.251068720072167E+01
       1.92620580       1.13109540      -0.92620580       0.53380932
 2000
    0.500000000000000E-06   -0.505691904100050E+01
    0.504602171525542E-06   -0.505691904100050E+01
    0.509246703016585E-06   -0.505691904100051E+01
    0.513933984368783E-06   -0.505691904100052E+01
    0.518664409066524E-06   -0.505691904100052E+01
    0.523438374215960E-06   -0.505691904100053E+01
    0.528256280578346E-06   -0.505691904100054E+01
    0.533118532603678E-06   -0.505691904100054E+01
    0.538025538464653E-06   -0.505691904100055E+01
    0.542977710090926E-06   -0.505691904100056E+01
    0.547975463203695E-06   -0.505691904100056E+01
    0.553019217350598E-06   -0.505691904100057E+01
    0.558109395940935E-06   -0.505691904100058E+01
    0.563246426281209E-06   -0.505691904100058E+01
    0.568430739610998E-06   -0.505691904100059E+01
    0.573662771139160E-06   -0.505691904100060E+01
    0.578942960080360E-06   -0.505691904100061E+01
    0.584271749691949E-06   -0.505691904100062E+01
    0.589649587311171E-06   -0.505691904100062E+01
    0.595076924392714E-06   -0.505691904100063E+01
    0.600554216546608E-06   -0.505691904100064E+01
    0.606081923576478E-06   -0.505691904100065E+01
    0.611660509518137E-06   -0.505691904100066E+01
    0.617290442678543E-06   -0.505691904100067E+01
    0.622972195675111E-06   -0.505691904100068E+01
    0.628706245475392E-06   -0.505691904100069E+01
    0.634493073437107E-06   -0.505691904100070E+01
    0.640333165348559E-06   -0.505691904100070E+01
    0.646227011469413E-06   -0.505691904100071E+01
    0.652175106571855E-06   -0.505691904100072E+01
    0.658177949982119E-06   -0.505691904100073E+01
    0.664236045622414E-06   -0.505691904100074E+01
    0.670349902053218E-06   -0.505691904100075E+01
    0.676520032515977E-06   -0.505691904100077E+01
    0.682746954976184E-06   -0.505691904100078E+01
    0.689031192166868E-06   -0.505691904100079E+01
    0.695373271632469E-06   -0.505691904100080E+01
    0.701773725773129E-06   -0.505691904100081E+01
    0.708233091889383E-06   -0.505691904100082E+01
    0.714751912227262E-06   -0.505691904100083E+01
    0.721330734023820E-06   -0.505691904100085E+01
    0.727970109553066E-06   -0.505691904100086E+01
    0.734670596172327E-06   -0.505691904100087E+01
    0.741432756369042E-06   -0.505691904100088E+01
    0.748257157807974E-06   -0.505691904100090E+01
    0.755144373378867E-06   -0.505691904100091E+01
    0.762094981244542E-06   -0.505691904100092E+01
    0.769109564889427E-06   -0.505691904100094E+01
    0.776188713168539E-06   -0.505691904100095E+01
    0.783333020356921E-06   -0.505691904100097E+01
    0.790543086199528E-06   -0.505691904100098E+01
    0.797819515961572E-06   -0.505691904100099E+01
    0.805162920479332E-06   -0.505691904100101E+01
    0.812573916211436E-06   -0.505691904100103E+01
    0.820053125290609E-06   -0.505691904100104E+01
    0.827601175575898E-06   -0.505691904100106E+01
    0.835218700705378E-06   -0.505691904100107E+01
    0.842906340149351E-06   -0.505691904100109E+01
    0.850664739264020E-06   -0.505691904100111E+01
    0.858494549345667E-06   -0.505691904100112E+01
    0.866396427685330E-06   -0.505691904100114E+01
    0.874371037623980E-06   -0.505691904100116E+01
    0.882419048608203E-06   -0.505691904100118E+01
    0.890541136246404E-06   -0.505691904100120E+01
    0.898737982365518E-06   -0.505691904100122E+01
    0.907010275068250E-06   -0.505691904100123E+01
    0.915358708790836E-06   -0.505691904100125E+01
    0.923783984361344E-06   -0.505691904100127E+01
    0.932286809058503E-06   -0.505691904100129E+01
    0.940867896671078E-06   -0.505691904100131E+01
    0.949527967557791E-06   -0.505691904100134E+01
    0.958267748707791E-06   -0.505691904100136E+01
    0.967087973801688E-06   -0.505691904100138E+01
    0.975989383273136E-06   -0.505691904100140E+01
    0.984972724370998E-06   -0.505691904100142E+01
    0.994038751222070E-06   -0.505691904100145E+01
    0.100318822489439E-05   -0.505691904100147E+01
    0.101242191346113E-05   -0.505691904100150E+01
    0.102174059206506E-05   -0.505691904100152E+01
    0.103114504298364E-05   -0.505691904100154E+01
    0.104063605569469E-05   -0.505691904100157E+01
    0.105021442694263E-05   -0.505691904100159E+01
    0.105988096080541E-05   -0.505691904100162E+01
