#PSV-2.1
'LDAPZ81 '  14.00000000 1
# pseudo potential for tapp generated by
# psv-2.1.3 2003.10.31                              
# title (comment) of allel input file:
# Silicon with non-relativistic                                           
# title (comment) of psv input file:
# Silicon                                                                 
# stiffness=   1.0740504
# 
     4.00000000000000
    2
    1    1
      8301    0.200286443731705E+01
       2.42345907       1.74594069      -1.42345907       0.85696084
10000
    0.500000000000000E-06   -0.680477419271440E+01
    0.500916696904692E-06   -0.680477419271440E+01
    0.501835074475814E-06   -0.680477419271440E+01
    0.502755135794690E-06   -0.680477419271440E+01
    0.503676883948292E-06   -0.680477419271440E+01
    0.504600322029252E-06   -0.680477419271440E+01
    0.505525453135874E-06   -0.680477419271440E+01
    0.506452280372139E-06   -0.680477419271440E+01
    0.507380806847722E-06   -0.680477419271440E+01
    0.508311035677997E-06   -0.680477419271439E+01
    0.509242969984050E-06   -0.680477419271440E+01
    0.510176612892691E-06   -0.680477419271440E+01
    0.511111967536461E-06   -0.680477419271439E+01
    0.512049037053644E-06   -0.680477419271439E+01
    0.512987824588280E-06   -0.680477419271439E+01
    0.513928333290169E-06   -0.680477419271439E+01
    0.514870566314890E-06   -0.680477419271439E+01
    0.515814526823806E-06   -0.680477419271439E+01
    0.516760217984075E-06   -0.680477419271439E+01
    0.517707642968663E-06   -0.680477419271439E+01
    0.518656804956352E-06   -0.680477419271439E+01
    0.519607707131754E-06   -0.680477419271439E+01
    0.520560352685318E-06   -0.680477419271439E+01
    0.521514744813342E-06   -0.680477419271439E+01
    0.522470886717985E-06   -0.680477419271439E+01
    0.523428781607277E-06   -0.680477419271439E+01
    0.524388432695129E-06   -0.680477419271439E+01
    0.525349843201345E-06   -0.680477419271439E+01
    0.526313016351631E-06   -0.680477419271439E+01
    0.527277955377608E-06   -0.680477419271439E+01
    0.528244663516822E-06   -0.680477419271439E+01
    0.529213144012754E-06   -0.680477419271439E+01
    0.530183400114832E-06   -0.680477419271439E+01
    0.531155435078440E-06   -0.680477419271439E+01
    0.532129252164934E-06   -0.680477419271439E+01
    0.533104854641645E-06   -0.680477419271439E+01
    0.534082245781898E-06   -0.680477419271439E+01
    0.535061428865016E-06   -0.680477419271439E+01
    0.536042407176337E-06   -0.680477419271439E+01
    0.537025184007222E-06   -0.680477419271439E+01
    0.538009762655064E-06   -0.680477419271439E+01
    0.538996146423304E-06   -0.680477419271439E+01
    0.539984338621438E-06   -0.680477419271439E+01
    0.540974342565031E-06   -0.680477419271439E+01
    0.541966161575725E-06   -0.680477419271439E+01
    0.542959798981253E-06   -0.680477419271439E+01
    0.543955258115450E-06   -0.680477419271438E+01
    0.544952542318261E-06   -0.680477419271439E+01
    0.545951654935755E-06   -0.680477419271438E+01
    0.546952599320137E-06   -0.680477419271438E+01
    0.547955378829757E-06   -0.680477419271438E+01
    0.548959996829122E-06   -0.680477419271438E+01
    0.549966456688908E-06   -0.680477419271438E+01
    0.550974761785970E-06   -0.680477419271438E+01
    0.551984915503356E-06   -0.680477419271438E+01
    0.552996921230313E-06   -0.680477419271438E+01
    0.554010782362305E-06   -0.680477419271438E+01
    0.555026502301020E-06   -0.680477419271438E+01
    0.556044084454382E-06   -0.680477419271438E+01
    0.557063532236566E-06   -0.680477419271438E+01
    0.558084849068002E-06   -0.680477419271438E+01
    0.559108038375394E-06   -0.680477419271438E+01
    0.560133103591728E-06   -0.680477419271438E+01
    0.561160048156284E-06   -0.680477419271438E+01
    0.562188875514648E-06   -0.680477419271438E+01
    0.563219589118721E-06   -0.680477419271438E+01
    0.564252192426735E-06   -0.680477419271438E+01
    0.565286688903261E-06   -0.680477419271438E+01
    0.566323082019223E-06   -0.680477419271438E+01
    0.567361375251909E-06   -0.680477419271438E+01
    0.568401572084979E-06   -0.680477419271438E+01
    0.569443676008484E-06   -0.680477419271438E+01
    0.570487690518871E-06   -0.680477419271438E+01
    0.571533619118998E-06   -0.680477419271438E+01
    0.572581465318145E-06   -0.680477419271438E+01
    0.573631232632027E-06   -0.680477419271438E+01
    0.574682924582804E-06   -0.680477419271438E+01
    0.575736544699093E-06   -0.680477419271438E+01
    0.576792096515980E-06   -0.680477419271438E+01
    0.577849583575034E-06   -0.680477419271438E+01
    0.578909009424316E-06   -0.680477419271438E+01
    0.579970377618391E-06   -0.680477419271438E+01
    0.581033691718343E-06   -0.680477419271438E+01
    0.582098955291783E-06   -0.680477419271437E+01
    0.583166171912863E-06   -0.680477419271438E+01
    0.584235345162290E-06   -0.680477419271437E+01
    0.585306478627334E-06   -0.680477419271437E+01
    0.586379575901842E-06   -0.680477419271437E+01
    0.587454640586250E-06   -0.680477419271437E+01
    0.588531676287594E-06   -0.680477419271437E+01
    0.589610686619526E-06   -0.680477419271437E+01
    0.590691675202321E-06   -0.680477419271437E+01
    0.591774645662892E-06   -0.680477419271437E+01
    0.592859601634800E-06   -0.680477419271437E+01
    0.593946546758271E-06   -0.680477419271437E+01
    0.595035484680203E-06   -0.680477419271437E+01
    0.596126419054180E-06   -0.680477419271437E+01
    0.597219353540484E-06   -0.680477419271437E+01
    0.598314291806109E-06   -0.680477419271437E+01
    0.599411237524772E-06   -0.680477419271437E+01
    0.600510194376925E-06   -0.680477419271437E+01
    0.601611166049768E-06   -0.680477419271437E+01
    0.602714156237260E-06   -0.680477419271437E+01
    0.603819168640133E-06   -0.680477419271437E+01
    0.604926206965905E-06   -0.680477419271437E+01
    0.606035274928891E-06   -0.680477419271437E+01
    0.607146376250214E-06   -0.680477419271437E+01
    0.608259514657821E-06   -0.680477419271437E+01
    0.609374693886493E-06   -0.680477419271437E+01
    0.610491917677860E-06   -0.680477419271437E+01
    0.611611189780409E-06   -0.680477419271437E+01
    0.612732513949503E-06   -0.680477419271437E+01
    0.613855893947386E-06   -0.680477419271437E+01
    0.614981333543203E-06   -0.680477419271437E+01
    0.616108836513008E-06   -0.680477419271437E+01
    0.617238406639777E-06   -0.680477419271436E+01
    0.618370047713425E-06   -0.680477419271436E+01
    0.619503763530811E-06   -0.680477419271436E+01
    0.620639557895758E-06   -0.680477419271436E+01
    0.621777434619063E-06   -0.680477419271436E+01
    0.622917397518508E-06   -0.680477419271436E+01
    0.624059450418876E-06   -0.680477419271436E+01
    0.625203597151962E-06   -0.680477419271436E+01
    0.626349841556585E-06   -0.680477419271436E+01
    0.627498187478603E-06   -0.680477419271436E+01
    0.628648638770926E-06   -0.680477419271436E+01
    0.629801199293526E-06   -0.680477419271436E+01
